epoca;lote;taxa;Acuracia de validacao;Perda de validacao;Tempo de validacao;Perda de treinamento;Acuracia de treinamento;Tempo de treinamento
4;32;3,00E-05;0,9375;0,1940;00:00:17;0,0775;0,9769;00:06:10
4;32;5,00E-05;0,9375;0,2229;00:00:18;0,0331;0,9900;00:07:03
3;16;5,00E-05;0,9231;0,2479;00:00:17;0,0987;0,9669;00:07:23
4;16;3,00E-05;0,9231;0,3033;00:00:17;0,0508;0,9856;00:07:26
4;16;5,00E-05;0,9231;0,3370;00:00:17;0,0290;0,9906;00:07:19
3;16;3,00E-05;0,9183;0,2595;00:00:17;0,1025;0,9669;00:07:22
3;16;2,00E-05;0,9183;0,2680;00:00:17;0,1335;0,9556;00:07:19
4;16;2,00E-05;0,9183;0,2787;00:00:17;0,0839;0,9769;00:07:25
3;32;3,00E-05;0,9152;0,1983;00:00:17;0,1435;0,9525;00:06:35
2;32;5,00E-05;0,9152;0,2433;00:00:17;0,1894;0,9313;00:06:35
2;16;5,00E-05;0,9135;0,2292;00:00:18;0,1823;0,9375;00:06:58
3;32;5,00E-05;0,9107;0,2036;00:00:16;0,1145;0,9581;00:06:37
2;16;3,00E-05;0,8990;0,2880;00:00:17;0,1796;0,9456;00:07:22
2;16;2,00E-05;0,8942;0,2646;00:00:13;0,2158;0,9256;00:14:18
4;32;2,00E-05;0,8929;0,2791;00:00:17;0,1112;0,9681;00:06:37
3;32;2,00E-05;0,8884;0,2705;00:00:16;0,1802;0,9413;00:06:37
2;32;3,00E-05;0,8795;0,2838;00:00:16;0,2265;0,9206;00:06:04
2;32;2,00E-05;0,8750;0,3195;00:00:17;0,2691;0,9113;00:06:26
